,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
2777,0.632,0.912,9,-7.586,0,0.0365,0.0269,0.684,0.0654,0.323,138.035,audio_features,3SBvSdQhQiC0Z07A9Be02F,spotify:track:3SBvSdQhQiC0Z07A9Be02F,https://api.spotify.com/v1/tracks/3SBvSdQhQiC0Z07A9Be02F,https://api.spotify.com/v1/audio-analysis/3SBvSdQhQiC0Z07A9Be02F,216360,4,trance
2778,0.505,0.979,1,-5.722,0,0.0825,0.000657,0.056,0.0519,0.131,137.998,audio_features,4DN04j1PlegbqauXZ8QwZa,spotify:track:4DN04j1PlegbqauXZ8QwZa,https://api.spotify.com/v1/tracks/4DN04j1PlegbqauXZ8QwZa,https://api.spotify.com/v1/audio-analysis/4DN04j1PlegbqauXZ8QwZa,208696,4,trance
2779,0.561,0.766,8,-5.058,0,0.0478,0.00358,0.000117,0.141,0.28,135.075,audio_features,0yG9QdjrzbNcQHdpsy1eG9,spotify:track:0yG9QdjrzbNcQHdpsy1eG9,https://api.spotify.com/v1/tracks/0yG9QdjrzbNcQHdpsy1eG9,https://api.spotify.com/v1/audio-analysis/0yG9QdjrzbNcQHdpsy1eG9,189067,4,trance
2780,0.567,0.599,7,-5.616,1,0.0305,0.000704,0.000315,0.168,0.366,134.98,audio_features,6N2pJ8VdWc3DyoahZ2GoBW,spotify:track:6N2pJ8VdWc3DyoahZ2GoBW,https://api.spotify.com/v1/tracks/6N2pJ8VdWc3DyoahZ2GoBW,https://api.spotify.com/v1/audio-analysis/6N2pJ8VdWc3DyoahZ2GoBW,151621,4,trance
2781,0.581,0.875,10,-9.323,0,0.055,4.63e-05,0.881,0.288,0.536,138.034,audio_features,3Fj2X7gMuVrNuYCgrt9PWt,spotify:track:3Fj2X7gMuVrNuYCgrt9PWt,https://api.spotify.com/v1/tracks/3Fj2X7gMuVrNuYCgrt9PWt,https://api.spotify.com/v1/audio-analysis/3Fj2X7gMuVrNuYCgrt9PWt,474413,4,trance
2782,0.578,0.834,11,-8.932,0,0.228,0.000139,0.899,0.0865,0.0965,128.051,audio_features,3tMJEYwKrJY3LutX2LWRYU,spotify:track:3tMJEYwKrJY3LutX2LWRYU,https://api.spotify.com/v1/tracks/3tMJEYwKrJY3LutX2LWRYU,https://api.spotify.com/v1/audio-analysis/3tMJEYwKrJY3LutX2LWRYU,225000,4,trance
2783,0.587,0.955,6,-5.65,0,0.091,0.00364,0.242,0.118,0.11,144.025,audio_features,5nzwQ00JPykTgiS45IFiH6,spotify:track:5nzwQ00JPykTgiS45IFiH6,https://api.spotify.com/v1/tracks/5nzwQ00JPykTgiS45IFiH6,https://api.spotify.com/v1/audio-analysis/5nzwQ00JPykTgiS45IFiH6,435000,4,trance
2784,0.694,0.883,0,-12.459,1,0.0404,0.000218,0.811,0.227,0.774,141.834,audio_features,1Q4upPTR0CF67zzADNYwlO,spotify:track:1Q4upPTR0CF67zzADNYwlO,https://api.spotify.com/v1/tracks/1Q4upPTR0CF67zzADNYwlO,https://api.spotify.com/v1/audio-analysis/1Q4upPTR0CF67zzADNYwlO,472907,4,trance
2785,0.436,0.977,9,-8.007,0,0.0825,0.00236,0.604,0.176,0.169,139.98,audio_features,6l8qn6xLQIXFD1xpI2KBim,spotify:track:6l8qn6xLQIXFD1xpI2KBim,https://api.spotify.com/v1/tracks/6l8qn6xLQIXFD1xpI2KBim,https://api.spotify.com/v1/audio-analysis/6l8qn6xLQIXFD1xpI2KBim,303429,4,trance
2786,0.725,0.909,1,-6.299,0,0.0505,0.000118,0.918,0.25,0.356,139.999,audio_features,6AOYHL3oDm3XQCIVPL4pmO,spotify:track:6AOYHL3oDm3XQCIVPL4pmO,https://api.spotify.com/v1/tracks/6AOYHL3oDm3XQCIVPL4pmO,https://api.spotify.com/v1/audio-analysis/6AOYHL3oDm3XQCIVPL4pmO,623508,4,trance
